"cluster ID","marker gene","myAUC","avg_diff","power","","",""
"Glu1","Rasd1","0.898","2.3964852506745","0.796","","",""
"Glu1","Cd302","0.876","2.4493078373496","0.752","","",""
"Glu1","Crh","0.856","4.0172756282878","0.712","","",""
"Glu1","Fam46a","0.849","2.1222784579811","0.698","","",""
"Glu1","Pcp4","0.152","-2.1195492875667","0.696","","",""
"Glu1","Tmtc4","0.831","2.5705181101525","0.662","","",""
"Glu1","Mrps18a","0.174","-4.9784310192244","0.652","","",""
"Glu1","Ccdc85b","0.186","-2.2233999293848","0.628","","",""
"Glu1","Prkcb","0.209","-2.8963717642431","0.582","","",""
"Glu1","Ppt1","0.212","-2.6815796336541","0.576","","",""
"Glu1","Gm16517","0.218","-2.0200711938004","0.564","","",""
"Glu1","Fam159a","0.778","2.3079249793127","0.556","","",""
"Glu1","Rwdd2a","0.224","-2.7071292704746","0.552","","",""
"Glu1","Aldoc","0.225","-2.053815423281","0.55","","",""
"Glu1","Nt5c","0.237","-2.5323020513786","0.526","","",""
"Glu1","Snca","0.245","-2.0781439856261","0.51","","",""
"Glu1","Calb2","0.246","-6.304091181432","0.508","","",""
"Glu1","Osbpl1a","0.25","-3.0242853134781","0.5","","",""
"Glu1","Ppp1r1a","0.251","-2.5579080811101","0.498","","",""
"Glu1","Rcn1","0.251","-4.6409458573688","0.498","","",""
"Glu1","Cpne6","0.252","-2.1892031899049","0.496","","",""
"Glu1","Pgf","0.746","2.4655930093397","0.492","","",""
"Glu1","Ttc14","0.255","-2.003422374239","0.49","","",""
"Glu1","Wdr12","0.255","-2.4442670752308","0.49","","",""
"Glu1","AI462493","0.257","-4.5210848039667","0.486","","",""
"Glu1","Ramp1","0.743","2.8235351674809","0.486","","",""
"Glu1","Myo9a","0.264","-4.6234232072814","0.472","","",""
"Glu1","Sowaha","0.733","2.5942773233884","0.466","","",""
"Glu1","Ctsf","0.27","-4.4308911335132","0.46","","",""
"Glu1","Dapl1","0.723","4.3480600880399","0.446","","",""
"Glu1","Atp9a","0.278","-4.4856116860307","0.444","","",""
"Glu1","Arpp21","0.279","-5.0754249292391","0.442","","",""
"Glu1","Tspan17","0.281","-4.3115112752506","0.438","","",""
"Glu1","Mrps28","0.282","-4.3463047043774","0.436","","",""
"Glu1","Pigyl","0.282","-2.2810710980278","0.436","","",""
"Glu1","Sez6l","0.284","-4.6578125029716","0.432","","",""
"Glu1","Gnal","0.288","-2.333900226255","0.424","","",""
"Glu1","Ehmt2","0.289","-4.2785404086917","0.422","","",""
"Glu1","B3galnt1","0.29","-2.1667679355075","0.42","","",""
"Glu1","Adcyap1","0.291","-5.3216049257689","0.418","","",""
"Glu1","Cd3eap","0.292","-4.3650971433361","0.416","","",""
"Glu1","Amotl1","0.293","-4.568427001524","0.414","","",""
"Glu1","Grm5","0.295","-4.6881604280162","0.41","","",""
"Glu1","Gpc5","0.705","2.4321007131003","0.41","","",""
"Glu1","1810043H04Rik","0.296","-2.2048274142338","0.408","","",""
"Glu1","Rgs10","0.296","-2.5837923581506","0.408","","",""
"Glu1","Ap2a1","0.297","-4.2709600857465","0.406","","",""
"Glu1","March6","0.297","-4.1366951850864","0.406","","",""
"Glu1","Bdnf","0.298","-3.1119993551002","0.404","","",""
"Glu1","Hlf","0.298","-4.9152603478646","0.404","","",""
"Glu1","Nrgn","0.298","-5.9552336329231","0.404","","",""
"Glu1","N6amt2","0.3","-4.1528509184314","0.4","","",""
"Glu2","Sln","1","7.397098631657","1","","",""
"Glu2","Calb2","0.989","2.4532853089509","0.978","","",""
"Glu2","Nefm","0.962","2.3937856314668","0.924","","",""
"Glu2","Ctxn3","0.952","3.3750239280504","0.904","","",""
"Glu2","Gpx3","0.134","-3.3702204964657","0.732","","",""
"Glu2","Celf6","0.172","-2.8988996923774","0.656","","",""
"Glu2","Mctp1","0.822","2.7494999951976","0.644","","",""
"Glu2","Arhgdig","0.182","-2.0035607057335","0.636","","",""
"Glu2","Baiap3","0.2","-3.412775713897","0.6","","",""
"Glu2","Ebf2","0.798","3.5218070877536","0.596","","",""
"Glu2","Prkg2","0.782","2.6206014840359","0.564","","",""
"Glu2","Pgm5","0.769","4.6383954140573","0.538","","",""
"Glu2","Gadd45g","0.233","-5.2522561946152","0.534","","",""
"Glu2","Cygb","0.235","-2.1449063827088","0.53","","",""
"Glu2","Rbfox1","0.236","-2.683933082821","0.528","","",""
"Glu2","Pde1c","0.763","2.0154915884363","0.526","","",""
"Glu2","AW551984","0.244","-4.8857707539201","0.512","","",""
"Glu2","Zfp503","0.755","2.8296478425801","0.51","","",""
"Glu2","Eomes","0.754","2.9595779215235","0.508","","",""
"Glu2","Dmrtb1","0.752","3.2707415260866","0.504","","",""
"Glu2","Dgkb","0.249","-3.5426779576957","0.502","","",""
"Glu2","Gm973","0.747","3.1852528245349","0.494","","",""
"Glu2","Scn3a","0.254","-2.2394345173289","0.492","","",""
"Glu2","Rsph9","0.256","-4.6761240913292","0.488","","",""
"Glu2","Gm15417","0.741","2.2476925421073","0.482","","",""
"Glu2","Hnrnpul2","0.266","-2.257173080534","0.468","","",""
"Glu2","Kcnma1","0.275","-4.7465655528149","0.45","","",""
"Glu2","Zfp365","0.277","-4.3453232531328","0.446","","",""
"Glu2","Ngb","0.279","-2.2546099804669","0.442","","",""
"Glu2","Sirpa","0.282","-4.3970819423814","0.436","","",""
"Glu2","Sez6l","0.283","-4.6618065879321","0.434","","",""
"Glu2","Ccl3","0.717","3.5327258797736","0.434","","",""
"Glu2","Rab9b","0.285","-4.2977910638178","0.43","","",""
"Glu2","Rps12","0.287","-2.0725399239717","0.426","","",""
"Glu2","Nr3c1","0.288","-2.2763040859056","0.424","","",""
"Glu2","Stambp","0.289","-4.3023241502959","0.422","","",""
"Glu2","Stim1","0.292","-4.2734837746327","0.416","","",""
"Glu2","Aig1","0.293","-4.3149115976834","0.414","","",""
"Glu2","Gpd2","0.296","-2.4838406549994","0.408","","",""
"Glu2","Mrpl3","0.296","-2.5037685398003","0.408","","",""
"Glu2","Gpr123","0.299","-2.1875183164616","0.402","","",""
"Glu3","Meis2","0.948","5.2975044605395","0.896","","",""
"Glu3","Fezf2","0.921","2.8262961580765","0.842","","",""
"Glu3","Samd3","0.781","2.7122272467418","0.562","","",""
"Glu3","Calb1","0.233","-2.1575379989125","0.534","","",""
"Glu3","Klhl7","0.237","-4.5630419048464","0.526","","",""
"Glu3","Rnf181","0.247","-2.043259190421","0.506","","",""
"Glu3","Serpini1","0.254","-2.2966268706877","0.492","","",""
"Glu3","2900053A13Rik","0.257","-2.0060898562115","0.486","","",""
"Glu3","D17Wsu104e","0.261","-2.3522871044113","0.478","","",""
"Glu3","Sema5b","0.739","2.7237379243324","0.478","","",""
"Glu3","As3mt","0.262","-4.7108402378606","0.476","","",""
"Glu3","Srsf6","0.263","-4.430289779518","0.474","","",""
"Glu3","Fip1l1","0.266","-4.524071319569","0.468","","",""
"Glu3","Gpd2","0.269","-4.5571510869997","0.462","","",""
"Glu3","Lrp11","0.275","-2.3362594584926","0.45","","",""
"Glu3","Necab2","0.275","-5.0803929391541","0.45","","",""
"Glu3","Ngb","0.28","-2.4339728338114","0.44","","",""
"Glu3","Cobra1","0.284","-4.3340618269018","0.432","","",""
"Glu3","Nucb2","0.286","-2.1425666512653","0.428","","",""
"Glu3","Ubr1","0.287","-4.3007499571374","0.426","","",""
"Glu3","Dtx1","0.29","-4.2761889083571","0.42","","",""
"Glu3","Adcyap1","0.291","-5.3196047035804","0.418","","",""
"Glu3","Ube2e2","0.291","-2.2349013303302","0.418","","",""
"Glu3","Ubash3b","0.708","2.3221268216743","0.416","","",""
"Glu3","Hiat1","0.295","-4.1571837486593","0.41","","",""
"Glu3","Cartpt","0.297","-7.1610811936629","0.406","","",""
"Glu4","Tcf7l2","0.975","3.0889623325791","0.95","","",""
"Glu4","Shox2","0.963","5.6652917888251","0.926","","",""
"Glu4","Foxp1","0.807","2.3337547136993","0.614","","",""
"Glu4","Slc1a2","0.776","2.1425769188434","0.552","","",""
"Glu4","Rgs16","0.763","2.0581081405304","0.526","","",""
"Glu4","Ramp3","0.748","3.4357904324569","0.496","","",""
"Glu4","Ptpn3","0.746","3.4165782959666","0.492","","",""
"Glu4","6330403A02Rik","0.737","2.3580724568998","0.474","","",""
"Glu4","Mgll","0.719","2.0170494551453","0.438","","",""
"Glu4","Gabrd","0.717","4.1274291151442","0.434","","",""
"Glu4","Nexn","0.707","2.0966479240772","0.414","","",""
"Glu4","Gbx2","0.703","3.574631353927","0.406","","",""
"Glu5","Foxb1","0.993","5.8859536266405","0.986","","",""
"Glu5","1500016L03Rik","0.928","2.9198228023547","0.856","","",""
"Glu5","Rprm","0.905","2.5256298820803","0.81","","",""
"Glu5","Lhx1","0.874","2.9805927535782","0.748","","",""
"Glu5","B230323A14Rik","0.813","5.0245849166888","0.626","","",""
"Glu5","Nxph4","0.799","2.2628423490464","0.598","","",""
"Glu5","Pitx2","0.774","2.9035947721368","0.548","","",""
"Glu5","Pvalb","0.769","3.9895575055414","0.538","","",""
"Glu5","Grm2","0.746","2.4254500520266","0.492","","",""
"Glu5","Gm13629","0.736","2.5479741507457","0.472","","",""
"Glu5","Pcsk5","0.725","2.2923908166174","0.45","","",""
"Glu5","Frmd5","0.721","2.0014851334706","0.442","","",""
"Glu5","Npy","0.718","3.6804131805914","0.436","","",""
"Glu5","Ifit2","0.707","3.2661775921235","0.414","","",""
"Glu5","Fam183b","0.294","-2.0958580837164","0.412","","",""
"Glu6","Tac1","0.886","2.5762094732558","0.772","","",""
"Glu6","Aldh3b2","0.821","2.0230422826077","0.642","","",""
"Glu6","Irx3","0.752","3.0244627336026","0.504","","",""
"Glu6","Slc18a2","0.747","2.3816199925615","0.494","","",""
"Glu6","Cxcl14","0.737","2.1325515906721","0.474","","",""
"Glu6","Cd36","0.734","3.9105273141496","0.468","","",""
"Glu6","Irx5","0.729","3.1417102995007","0.458","","",""
"Glu6","Ndst3","0.713","2.2617157631802","0.426","","",""
"Glu7","Nrgn","0.872","2.0600886364593","0.744","","",""
"Glu7","Fezf1","0.827","3.0546999960945","0.654","","",""
"Glu7","Nrn1","0.214","-3.0286514381847","0.572","","",""
"Glu8","Hmx3","0.839","3.1359996047318","0.678","","",""
"Glu8","Ptprr","0.803","2.028325171401","0.606","","",""
"Glu8","Cd24a","0.775","2.3170441564589","0.55","","",""
"Glu8","Eomes","0.742","2.5987030801691","0.484","","",""
"Glu8","Nrn1","0.267","-2.0918048850751","0.466","","",""
"Glu8","Otof","0.725","2.2178186286426","0.45","","",""
"Glu8","C1ql2","0.723","2.2977468018798","0.446","","",""
"Glu8","Hmx2","0.723","3.1516304824486","0.446","","",""
"Glu8","Nefm","0.283","-2.0258072159762","0.434","","",""
"Glu8","Tmem35","0.284","-2.4787318183822","0.432","","",""
"Glu8","Nrgn","0.295","-5.1797012461029","0.41","","",""
"Glu9","Samd3","0.81","3.1046271885567","0.62","","",""
"Glu9","Gad2","0.757","2.2239427332143","0.514","","",""
"Glu9","C1ql1","0.727","4.2763886101434","0.454","","",""
"Glu9","Dgkb","0.295","-2.3176542691763","0.41","","",""
"Glu9","Kcnb1","0.3","-3.2191126358927","0.4","","",""
"Glu10","Htra1","0.993","3.8228731933558","0.986","","",""
"Glu10","Trh","0.955","5.4913627028875","0.91","","",""
"Glu10","Ppp1r17","0.824","2.118893007192","0.648","","",""
"Glu10","Ghrh","0.784","5.2796961687954","0.568","","",""
"Glu10","Tmeff2","0.246","-4.6577360148343","0.508","","",""
"Glu10","Nefm","0.249","-2.4796219036546","0.502","","",""
"Glu10","Ccnh","0.258","-2.0646749700562","0.484","","",""
"Glu10","Agtr1a","0.737","2.7004043550641","0.474","","",""
"Glu10","Thrsp","0.735","2.7241551433469","0.47","","",""
"Glu10","Gabra1","0.269","-2.0024480211196","0.462","","",""
"Glu10","Osbpl1a","0.271","-2.5203552852877","0.458","","",""
"Glu10","Ddb1","0.275","-2.0704299179609","0.45","","",""
"Glu10","Calb2","0.278","-3.198160440374","0.444","","",""
"Glu10","Gfra1","0.721","2.3213039008763","0.442","","",""
"Glu10","Tmem47","0.28","-4.5616917310542","0.44","","",""
"Glu10","Ttyh1","0.285","-2.2464225979835","0.43","","",""
"Glu10","Hpca","0.292","-2.4646863690119","0.416","","",""
"Glu10","Wars","0.294","-4.2040534186037","0.412","","",""
"Glu10","Slc8a1","0.295","-2.1389276035706","0.41","","",""
"Glu10","Nrgn","0.297","-5.9572425165103","0.406","","",""
"Glu10","Rgs7bp","0.298","-2.5290993318988","0.404","","",""
"Glu11","Kiss1","1","6.426731184527","1","","",""
"Glu11","Tac2","0.996","4.3712922811578","0.992","","",""
"Glu11","Ecel1","0.941","2.2512678813213","0.882","","",""
"Glu11","Sdc2","0.932","2.1694628483276","0.864","","",""
"Glu11","Prlr","0.905","2.0833482918935","0.81","","",""
"Glu11","Thy1","0.099","-2.6693940575184","0.802","","",""
"Glu11","Nhlh2","0.897","2.4670743617559","0.794","","",""
"Glu11","Lxn","0.877","3.0135275853226","0.754","","",""
"Glu11","Ncdn","0.136","-2.6464470961567","0.728","","",""
"Glu11","Tbx3","0.857","2.549877703119","0.714","","",""
"Glu11","Npr3","0.847","4.4096737384771","0.694","","",""
"Glu11","Nr4a2","0.846","2.1284215818548","0.692","","",""
"Glu11","Fam159a","0.841","2.3548476664938","0.682","","",""
"Glu11","Nr5a2","0.832","4.9922123795301","0.664","","",""
"Glu11","Tacr3","0.825","3.4944192516334","0.65","","",""
"Glu11","Pcp4","0.178","-2.215351568509","0.644","","",""
"Glu11","Esr1","0.817","2.9399017335306","0.634","","",""
"Glu11","Snca","0.185","-3.2227464258626","0.63","","",""
"Glu11","Gabra1","0.233","-2.241253514085","0.534","","",""
"Glu11","Nrn1","0.236","-5.353213335581","0.528","","",""
"Glu11","Gabrb2","0.25","-4.1482930536095","0.5","","",""
"Glu11","Prrt2","0.275","-2.0249469288611","0.45","","",""
"Glu11","Rgs10","0.279","-2.8759314210493","0.442","","",""
"Glu11","Socs2","0.719","2.0481621882208","0.438","","",""
"Glu11","Hs3st5","0.715","2.1250042846783","0.43","","",""
"Glu11","Arpp21","0.286","-2.9679836937256","0.428","","",""
"Glu11","Ptn","0.287","-2.5723214183556","0.426","","",""
"Glu11","Smoc1","0.711","2.0549676504882","0.422","","",""
"Glu11","Col2a1","0.71","3.7161932074333","0.42","","",""
"Glu11","Slc38a3","0.71","3.7277760267221","0.42","","",""
"Glu11","Klhl13","0.292","-2.4644238796335","0.416","","",""
"Glu11","Adcyap1","0.296","-3.4850661730664","0.408","","",""
"Glu11","Hpca","0.297","-2.4569531472093","0.406","","",""
"Glu12","Lhx9","0.911","2.0020594421518","0.822","","",""
"Glu12","Vgll2","0.879","4.3857716355631","0.758","","",""
"Glu12","C1ql3","0.863","3.10718970833","0.726","","",""
"Glu12","Gal","0.804","2.485598919918","0.608","","",""
"Glu12","Pi16","0.789","2.0789080917685","0.578","","",""
"Glu12","Rbfox1","0.226","-2.9425921101349","0.548","","",""
"Glu12","Nefm","0.227","-3.0726860586634","0.546","","",""
"Glu12","Npvf","0.765","8.9527434911367","0.53","","",""
"Glu12","Cachd1","0.764","2.2948034287728","0.528","","",""
"Glu12","Pde4b","0.259","-3.0565253003036","0.482","","",""
"Glu12","Igfbp3","0.734","2.2336885363585","0.468","","",""
"Glu12","Nrn1","0.268","-2.7894019909245","0.464","","",""
"Glu12","Gabrb2","0.275","-2.5853093834377","0.45","","",""
"Glu12","Trhr","0.723","2.7715866340866","0.446","","",""
"Glu12","Hcrt","0.716","7.2383164016711","0.432","","",""
"Glu12","Galntl1","0.285","-2.3262838200735","0.43","","",""
"Glu12","Hs6st2","0.289","-2.1471872344252","0.422","","",""
"Glu12","Tmem35","0.297","-2.146356709798","0.406","","",""
"Glu12","Rfx4","0.702","3.4100163165837","0.404","","",""
"Glu13","Pomc","1","7.0069340103769","1","","",""
"Glu13","Tbx3","0.969","2.8588066185993","0.938","","",""
"Glu13","Asb4","0.959","2.666351895509","0.918","","",""
"Glu13","Cartpt","0.946","2.7079526114239","0.892","","",""
"Glu13","Serpina3n","0.944","2.7862311784074","0.888","","",""
"Glu13","Cited1","0.93","2.5148912251886","0.86","","",""
"Glu13","Plagl1","0.856","3.0598805430609","0.712","","",""
"Glu13","Gch1","0.826","2.9026021298042","0.652","","",""
"Glu13","Fam159b","0.79","3.3038513460838","0.58","","",""
"Glu13","Gad1","0.788","2.4635303920444","0.576","","",""
"Glu13","Vwa5a","0.779","2.1146226707951","0.558","","",""
"Glu13","Cd44","0.776","2.0187693210957","0.552","","",""
"Glu13","Ostf1","0.769","2.0004762189275","0.538","","",""
"Glu13","Pon2","0.744","3.5236855510182","0.488","","",""
"Glu13","Six6","0.741","3.0151992362246","0.482","","",""
"Glu13","Nrn1","0.267","-2.9659428016389","0.466","","",""
"Glu13","Snca","0.276","-2.0451868601821","0.448","","",""
"Glu13","Rgs10","0.281","-3.1547236232106","0.438","","",""
"Glu13","Tex264","0.286","-2.4289215476715","0.428","","",""
"Glu13","Gal","0.714","2.1003624581156","0.428","","",""
"Glu13","Adcyap1","0.289","-5.3316670902269","0.422","","",""
"Glu13","Bdnf","0.289","-3.1515036828825","0.422","","",""
"Glu13","Slc18a2","0.703","2.6809944854449","0.406","","",""
"Glu13","Dgkb","0.298","-2.0801836775512","0.404","","",""
"Glu14","Avp","0.944","5.5420965500647","0.888","","",""
"Glu14","Fkbp11","0.899","2.5232864182561","0.798","","",""
"Glu14","Fign","0.894","2.2713068273407","0.788","","",""
"Glu14","Sim1","0.878","2.7640470891548","0.756","","",""
"Glu14","Oxt","0.864","7.1324265970412","0.728","","",""
"Glu14","Pou3f2","0.852","2.4394333633248","0.704","","",""
"Glu14","Nog","0.84","2.3065754412968","0.68","","",""
"Glu14","Cd302","0.832","2.1619074029216","0.664","","",""
"Glu14","Angpt1","0.81","2.2675432519677","0.62","","",""
"Glu14","Caprin2","0.803","2.4268410771896","0.606","","",""
"Glu14","Tmem178","0.8","2.1891427585002","0.6","","",""
"Glu14","Odz2","0.214","-3.3945144910827","0.572","","",""
"Glu14","Snca","0.214","-2.5460194594814","0.572","","",""
"Glu14","Celf2","0.221","-2.3499255818981","0.558","","",""
"Glu14","Cpne6","0.221","-3.1746368359165","0.558","","",""
"Glu14","Vim","0.775","2.1204735525025","0.55","","",""
"Glu14","Sparcl1","0.24","-2.2020615044088","0.52","","",""
"Glu14","Grm3","0.75","2.4025322717445","0.5","","",""
"Glu14","Magt1","0.739","2.4335113799714","0.478","","",""
"Glu14","Nnmt","0.723","2.5180983785374","0.446","","",""
"Glu14","Arpp21","0.28","-4.5451482150109","0.44","","",""
"Glu14","Bdnf","0.287","-2.9241300064245","0.426","","",""
"Glu14","Ebf3","0.711","2.2078664237443","0.422","","",""
"Glu14","Fgf13","0.293","-2.7547337629234","0.414","","",""
"Glu14","Enc1","0.294","-2.9837199089273","0.412","","",""
"Glu15","Sst","0.971","5.2396425320277","0.942","","",""
"Glu15","Pkib","0.932","2.6706666097739","0.864","","",""
"Glu15","Serpinf1","0.838","2.6685641097955","0.676","","",""
"Glu15","Zeb2","0.816","2.6894915649694","0.632","","",""
"Glu15","Ghr","0.807","2.3590814645818","0.614","","",""
"Glu15","Msn","0.805","2.9501086001271","0.61","","",""
"Glu15","Sfrp2","0.794","2.5862351595339","0.588","","",""
"Glu15","Prdm8","0.788","3.504072531154","0.576","","",""
"Glu15","Snca","0.224","-2.643692690847","0.552","","",""
"Glu15","2610018G03Rik","0.758","2.1067699831631","0.516","","",""
"Glu15","Cpne6","0.251","-2.074462019881","0.498","","",""
"Glu15","Ptprk","0.747","2.1965435724751","0.494","","",""
"Glu15","Hs6st2","0.276","-2.6516189968958","0.448","","",""
"Glu15","Hpca","0.278","-3.27817225303","0.444","","",""
"Glu15","Nefm","0.278","-2.2543711821072","0.444","","",""
"Glu15","Car10","0.281","-4.7794878745708","0.438","","",""
"Glu15","Ifi35","0.716","2.8639837262676","0.432","","",""
"Glu15","Arpp21","0.287","-3.8437876723563","0.426","","",""
"Glu15","Dyrk2","0.712","2.3287448593196","0.424","","",""
"Glu15","Lhfpl3","0.292","-3.2847854930559","0.416","","",""
"Glu15","Krtap17-1","0.707","2.5578416749902","0.414","","",""
"Glu15","Tmem35","0.297","-2.1363270557635","0.406","","",""
"Glu15","Cdh13","0.3","-2.1252370900416","0.4","","",""
"GABA1","Pvalb","1","7.0872964178023","1","","",""
"GABA1","Ubash3b","0.996","4.0196135311054","0.992","","",""
"GABA1","Got1","0.991","1.3990259063241","0.982","","",""
"GABA1","Cplx3","0.99","3.6113005101101","0.98","","",""
"GABA1","Ldhb","0.979","1.0923145147879","0.958","","",""
"GABA1","Ndrg4","0.979","1.1893615379805","0.958","","",""
"GABA1","Cplx1","0.977","2.5378206962695","0.954","","",""
"GABA1","Sncb","0.975","1.6535197014878","0.95","","",""
"GABA1","Ahi1","0.028","-1.3400228571404","0.944","","",""
"GABA1","AI593442","0.97","2.1815562430025","0.94","","",""
"GABA1","Atp1a3","0.965","1.1588307517705","0.93","","",""
"GABA1","Cend1","0.961","1.3044868067368","0.922","","",""
"GABA1","Eef1a1","0.04","-1.0882500014184","0.92","","",""
"GABA1","Scn1a","0.958","1.9454653130852","0.916","","",""
"GABA1","Snap25","0.956","1.1473048334992","0.912","","",""
"GABA1","Atp6v1g2","0.95","1.0918488616094","0.9","","",""
"GABA1","Vdac1","0.948","1.1639962848875","0.896","","",""
"GABA1","Gad2","0.947","1.1028837380829","0.894","","",""
"GABA1","6330403K07Rik","0.056","-1.2558112679607","0.888","","",""
"GABA1","Esrrg","0.943","3.9109084105089","0.886","","",""
"GABA1","Timp3","0.939","2.3163372576748","0.878","","",""
"GABA1","Dlgap1","0.937","1.8371410356476","0.874","","",""
"GABA1","Slc25a5","0.934","1.0509156436284","0.868","","",""
"GABA1","Sparcl1","0.934","2.0273185448806","0.868","","",""
"GABA1","Elavl4","0.93","1.1092586699489","0.86","","",""
"GABA1","Syt7","0.923","1.8215149909721","0.846","","",""
"GABA1","Plcb1","0.92","1.7665404467813","0.84","","",""
"GABA1","Cygb","0.919","1.3545049945581","0.838","","",""
"GABA1","Mtfp1","0.915","1.5586525467363","0.83","","",""
"GABA1","Slc32a1","0.915","1.0658259169771","0.83","","",""
"GABA1","Slc35f1","0.912","2.1843827984318","0.824","","",""
"GABA1","Mgst3","0.909","1.8913014841925","0.818","","",""
"GABA1","Gaa","0.092","-1.3371255393173","0.816","","",""
"GABA1","Syngr1","0.907","1.0809293388489","0.814","","",""
"GABA1","Fndc5","0.904","2.2734564071208","0.808","","",""
"GABA1","Rps21","0.098","-1.0735300295275","0.804","","",""
"GABA1","Nr2f2","0.895","1.8982123031056","0.79","","",""
"GABA1","Mxra7","0.894","1.9658776709704","0.788","","",""
"GABA1","Pcp4","0.108","-4.8495264668595","0.784","","",""
"GABA1","Eepd1","0.892","3.5349750889843","0.784","","",""
"GABA1","Kcnc1","0.892","1.1158137677708","0.784","","",""
"GABA1","Ak5","0.891","2.093074950028","0.782","","",""
